Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1715596347775227,000001FA,false,Rx,0,8,40,7A,35,70,41,41,40,41,
-1715596347774843,00000507,false,Rx,0,8,40,07,00,00,00,00,00,00,
-1715596347765457,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596347755175,000002A5,false,Rx,0,8,0B,29,FF,FF,FF,FF,FF,FF,
-1715596347754535,00000607,false,Rx,0,5,F0,03,7F,22,78,00,00,00,
-1715596347745448,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596347744978,000002F5,false,Rx,0,8,8C,0F,00,20,84,0A,00,20,
-1715596347725438,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596347705386,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596347702357,00000607,false,Rx,0,8,F0,10,09,62,DD,BC,00,10,
-1715596347687595,00000431,false,Rx,0,8,D5,FC,FF,FF,FF,7C,D1,1E,
-1715596347687126,00000239,false,Rx,0,8,36,00,00,84,01,C8,FF,FF,
-1715596347685505,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596347675265,00000507,false,Rx,0,8,40,07,00,00,00,00,00,00,
-1715596347665367,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596347659096,00000607,false,Rx,0,6,F0,21,03,A7,00,B9,00,00,
-1715596347655427,000002A5,false,Rx,0,8,0B,29,FF,FF,FF,FF,FF,FF,
-1715596347654915,00000432,false,Rx,0,8,FC,FF,25,BB,FF,7C,00,BC,
-1715596347645315,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596347644846,00000239,false,Rx,0,8,36,00,00,84,01,C8,FF,FF,
-1715596347644377,000002F5,false,Rx,0,8,8C,0F,00,20,84,0A,00,20,
