Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1715596332319759,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332319247,00000239,false,Rx,0,8,FF,00,00,7D,01,C8,FF,FF,
-1715596332318863,00000431,false,Rx,0,8,D5,FC,FF,FF,FF,81,D1,1E,
-1715596332318393,00000432,false,Rx,0,8,FC,FF,25,BB,FF,7C,00,BC,
-1715596332317924,00000507,false,Rx,0,8,40,07,00,00,00,00,00,00,
-1715596332299621,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332296848,00000607,false,Rx,0,5,F0,03,7F,22,78,00,00,00,
-1715596332289595,000001FA,false,Rx,0,8,40,7A,05,70,FF,41,FF,FF,
-1715596332279782,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332269586,000002A5,false,Rx,0,8,0B,29,FF,FF,FF,FF,FF,FF,
-1715596332259560,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332259090,000002F5,false,Rx,0,8,90,0F,00,20,E0,07,00,20,
-1715596332258706,0000033E,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
-1715596332258237,00000430,false,Rx,0,8,90,0F,E0,07,FF,FF,FF,FF,
-1715596332239721,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332219712,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332219242,00000507,false,Rx,0,8,40,07,00,00,00,00,00,00,
-1715596332216725,00000607,false,Rx,0,8,F0,10,09,62,DD,BC,00,10,
-1715596332211179,00000607,false,Rx,0,6,F0,21,03,A7,00,B9,00,00,
-1715596332201963,00000431,false,Rx,0,8,D5,FC,FF,FF,FF,7C,D1,1E,
-1715596332201537,00000239,false,Rx,0,8,36,00,00,84,01,C8,FF,FF,
-1715596332199745,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332179650,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332169795,000002A5,false,Rx,0,8,0B,29,FF,FF,FF,FF,FF,FF,
-1715596332169325,00000432,false,Rx,0,8,FC,FF,25,BB,FF,7C,00,BC,
-1715596332159598,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332159129,00000239,false,Rx,0,8,36,00,00,84,01,C8,FF,FF,
-1715596332158617,000002F5,false,Rx,0,8,90,0F,00,20,E0,07,00,20,
-1715596332158233,00000431,false,Rx,0,8,D5,FC,FF,FF,FF,7C,D1,1E,
-1715596332139589,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332128923,00000607,false,Rx,0,5,F0,03,7F,22,78,00,00,00,
-1715596332119537,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332119025,00000507,false,Rx,0,8,40,07,00,00,00,00,00,00,
-1715596332116721,00000607,false,Rx,0,8,F0,06,62,DD,C4,06,91,01,
-1715596332101703,000002F5,false,Rx,0,8,8C,0F,00,20,84,0A,00,20,
-1715596332099783,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332079731,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332076915,00000607,false,Rx,0,8,F0,10,0D,62,DD,CA,39,31,
-1715596332069662,000002A5,false,Rx,0,8,0B,29,FF,FF,FF,FF,FF,FF,
-1715596332059850,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
-1715596332059380,000002F5,false,Rx,0,8,8C,0F,00,20,84,0A,00,20,
-1715596332049738,00000430,false,Rx,0,8,8C,0F,92,0A,FF,FF,FF,FF,
-1715596332039627,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596332019703,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331999821,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331980665,000001FA,false,Rx,0,8,40,7A,35,70,FF,41,FF,FF,
-1715596331979727,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331969871,00000239,false,Rx,0,8,36,00,00,84,01,C8,FF,FF,
-1715596331969359,000002A5,false,Rx,0,8,0B,29,FF,FF,FF,FF,FF,FF,
-1715596331968975,00000431,false,Rx,0,8,D5,FC,FF,FF,FF,7C,D1,1E,
-1715596331968506,00000432,false,Rx,0,8,FC,FF,25,BB,FF,7C,00,BC,
-1715596331959802,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331959333,000002F5,false,Rx,0,8,8C,0F,00,20,84,0A,00,20,
-1715596331939793,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331919741,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331900841,000001FA,false,Rx,0,8,40,7A,35,70,41,41,40,41,
-1715596331899774,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331879765,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
-1715596331869867,000002A5,false,Rx,0,8,0B,29,FF,FF,FF,FF,FF,FF,
-1715596331859833,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F9,FF,
