Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4616670,00000101,false,Rx,0,8,00,00,00,10,00,00,A0,BE,
4617634,00000105,false,Rx,0,8,00,00,00,10,00,00,B0,FA,
4618510,00000100,false,Rx,0,8,00,00,00,10,00,00,A0,DB,
4619638,00000103,false,Rx,0,8,00,00,00,10,00,00,A0,74,
4629415,000001C4,false,Rx,0,8,22,22,92,22,22,22,42,22,
4630626,000001C2,false,Rx,0,8,22,22,92,22,22,22,42,22,
4636234,000001C1,false,Rx,0,8,22,22,92,22,22,22,42,22,
4638369,000001C0,false,Rx,0,8,22,22,92,22,22,22,42,22,
4639495,000001C3,false,Rx,0,8,22,22,92,22,22,22,42,22,
4653468,00000204,false,Rx,0,8,34,34,40,37,3A,00,00,00,
4654679,00000202,false,Rx,0,8,34,34,40,41,3A,00,00,00,
4659505,00000104,false,Rx,0,8,00,00,00,10,00,00,B0,9F,
4660215,00000201,false,Rx,0,8,34,34,40,3F,3A,00,00,00,
4660671,00000102,false,Rx,0,8,00,00,00,10,00,00,B0,DC,
4662387,00000200,false,Rx,0,8,33,34,40,3B,3A,00,00,00,
4663600,00000203,false,Rx,0,8,34,34,40,44,39,00,00,00,
4666324,00000101,false,Rx,0,8,00,00,00,10,00,00,B0,73,
63869,00000105,false,Rx,0,8,00,00,00,10,00,00,C0,A3,
63958,00000100,false,Rx,0,8,00,00,00,10,00,00,B0,16,
64579,00000103,false,Rx,0,8,00,00,00,10,00,00,B0,B9,
104448,00000104,false,Rx,0,8,00,00,00,10,00,00,C0,C6,
105780,00000102,false,Rx,0,8,00,00,00,10,00,00,C0,85,
106651,00000205,false,Rx,0,8,34,34,40,45,3B,00,00,00,
111319,00000101,false,Rx,0,8,00,00,00,10,00,00,C0,2A,
112697,00000105,false,Rx,0,8,00,00,00,10,00,00,D0,6E,
113323,00000100,false,Rx,0,8,00,00,00,10,00,00,C0,4F,
114685,00000103,false,Rx,0,8,00,00,00,10,00,00,C0,E0,
148530,00000204,false,Rx,0,8,34,34,40,37,3A,00,00,00,
149659,00000202,false,Rx,0,8,34,34,40,41,3A,00,00,00,
150785,000001D5,false,Rx,0,8,22,99,29,22,22,22,99,99,
154438,00000104,false,Rx,0,8,00,00,00,10,00,00,D0,0B,
155316,00000201,false,Rx,0,8,34,34,40,3F,3A,00,00,00,
155688,00000102,false,Rx,0,8,00,00,00,10,00,00,D0,48,
157156,00000200,false,Rx,0,8,33,34,40,3B,3A,00,00,00,
158792,00000203,false,Rx,0,8,34,34,40,44,39,00,00,00,
161427,00000101,false,Rx,0,8,00,00,00,10,00,00,D0,E7,
162811,00000105,false,Rx,0,8,00,00,00,10,00,00,E0,24,
163180,00000100,false,Rx,0,8,00,00,00,10,00,00,D0,82,
165648,00000103,false,Rx,0,8,00,00,00,10,00,00,D0,2D,
182819,000001C5,false,Rx,0,8,22,22,92,22,22,22,42,22,
192256,000001D4,false,Rx,0,8,22,99,29,22,22,22,99,99,
193716,000001D2,false,Rx,0,8,22,99,29,22,22,22,99,99,
199296,000001D1,false,Rx,0,8,22,99,29,22,22,22,99,99,
201267,000001D0,false,Rx,0,8,22,99,29,22,22,22,99,99,
202819,000001D3,false,Rx,0,8,22,99,29,22,22,22,99,99,
204281,00000104,false,Rx,0,8,00,00,00,10,00,00,E0,41,
205751,00000102,false,Rx,0,8,00,00,00,10,00,00,E0,02,
206805,00000205,false,Rx,0,8,34,34,40,45,3B,00,00,00,
211248,00000101,false,Rx,0,8,00,00,00,10,00,00,E0,AD,
212795,00000105,false,Rx,0,8,00,00,00,10,00,00,00,96,
213247,00000100,false,Rx,0,8,00,00,00,10,00,00,E0,C8,
214799,00000103,false,Rx,0,8,00,00,00,10,00,00,E0,67,
224249,000001C4,false,Rx,0,8,22,22,92,22,22,22,42,22,
225632,000001C2,false,Rx,0,8,22,22,92,22,22,22,42,22,
231153,000001C1,false,Rx,0,8,22,22,92,22,22,22,42,22,
233204,000001C0,false,Rx,0,8,22,22,92,22,22,22,42,22,
234665,000001C3,false,Rx,0,8,22,22,92,22,22,22,42,22,
248308,00000204,false,Rx,0,8,34,34,40,37,3A,00,00,00,
249605,00000202,false,Rx,0,8,34,34,40,41,3A,00,00,00,
254264,00000104,false,Rx,0,8,00,00,00,10,00,00,00,F3,
255225,00000201,false,Rx,0,8,34,34,40,3F,3A,00,00,00,
255679,00000102,false,Rx,0,8,00,00,00,10,00,00,00,B0,
