Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18446744073450076985,00000080,false,Rx,0,8,C7,10,00,00,20,00,10,E8,
18446744073450077294,00000081,false,Rx,0,8,C7,10,00,00,20,00,10,8D,
18446744073450077580,00000082,false,Rx,0,8,C7,10,00,00,20,00,10,22,
18446744073450077787,00000083,false,Rx,0,8,C7,10,00,00,20,00,10,47,
18446744073450078083,00000084,false,Rx,0,8,C7,10,00,00,20,00,10,61,
18446744073450078287,00000085,false,Rx,0,8,C7,10,00,00,20,00,10,04,
18446744073450148329,00000105,false,Rx,0,8,00,00,00,10,00,00,00,96,
18446744073450176876,00000080,false,Rx,0,8,C7,10,00,00,60,00,20,C2,
18446744073450177268,00000081,false,Rx,0,8,C7,10,00,00,60,00,20,A7,
18446744073450177557,00000082,false,Rx,0,8,C7,10,00,00,60,00,20,08,
18446744073450177762,00000083,false,Rx,0,8,C7,10,00,00,60,00,20,6D,
18446744073450178057,00000084,false,Rx,0,8,C7,10,00,00,60,00,20,4B,
18446744073450178260,00000085,false,Rx,0,8,C7,10,00,00,60,00,20,2E,
18446744073450178464,00000110,false,Rx,0,8,10,00,33,00,00,00,00,00,
18446744073450178754,00000111,false,Rx,0,8,10,00,33,00,00,00,00,00,
18446744073450178959,00000112,false,Rx,0,8,10,00,33,00,00,00,00,00,
18446744073450179247,00000113,false,Rx,0,8,10,00,33,00,00,00,00,00,
18446744073450179450,00000114,false,Rx,0,8,10,00,33,00,00,00,00,00,
18446744073450179741,00000115,false,Rx,0,8,10,00,33,00,00,00,00,00,
18446744073450192595,00000104,false,Rx,0,8,00,00,00,10,00,00,00,F3,
18446744073450193392,00000205,false,Rx,0,8,34,34,40,42,38,00,00,00,
18446744073450195369,00000125,false,Rx,0,8,1B,0E,1B,0E,1A,0E,00,AA,
18446744073450196417,00000135,false,Rx,0,8,1A,0E,19,0E,1A,0E,00,3D,
18446744073450196620,00000101,false,Rx,0,8,00,00,00,10,00,00,00,1F,
18446744073450197167,00000103,false,Rx,0,8,00,00,00,10,00,00,00,D5,
18446744073450197370,00000102,false,Rx,0,8,00,00,00,10,00,00,00,B0,
18446744073450197657,00000145,false,Rx,0,8,19,0E,1A,0E,1A,0E,00,3E,
18446744073450198371,00000155,false,Rx,0,8,1B,0E,1A,0E,19,0E,00,16,
18446744073450199086,00000100,false,Rx,0,8,00,00,00,10,00,00,00,7A,
18446744073450199373,00000165,false,Rx,0,8,1A,0E,1A,0E,1A,0E,00,E5,
18446744073450200422,00000175,false,Rx,0,8,1A,0E,00,00,00,00,00,BB,
18446744073450201418,000001E5,false,Rx,0,8,D7,70,00,00,00,00,00,23,
18446744073450206426,00000105,false,Rx,0,8,00,00,00,10,00,00,10,5B,
18446744073450211605,00000124,false,Rx,0,8,19,0E,19,0E,18,0E,00,A2,
18446744073450212403,00000121,false,Rx,0,8,19,0E,17,0E,18,0E,00,58,
18446744073450212690,00000134,false,Rx,0,8,18,0E,18,0E,18,0E,00,8B,
18446744073450213488,00000131,false,Rx,0,8,18,0E,18,0E,17,0E,00,E1,
18446744073450213692,00000144,false,Rx,0,8,18,0E,19,0E,18,0E,00,BB,
18446744073450214072,00000120,false,Rx,0,8,19,0E,1A,0E,1A,0E,00,96,
18446744073450214359,00000141,false,Rx,0,8,17,0E,17,0E,17,0E,00,9B,
18446744073450214645,00000122,false,Rx,0,8,1B,0E,1B,0E,1B,0E,00,03,
18446744073450214853,00000154,false,Rx,0,8,18,0E,19,0E,19,0E,00,2A,
18446744073450215064,00000123,false,Rx,0,8,18,0E,19,0E,18,0E,00,D9,
18446744073450215351,00000130,false,Rx,0,8,1A,0E,19,0E,19,0E,00,5D,
