Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18875292,00000205,false,Rx,0,8,34,34,E0,00,00,00,00,00,
130043,00000080,false,Rx,0,8,68,10,00,50,00,00,B0,5A,
130786,00000110,false,Rx,0,8,00,00,33,00,00,00,00,00,
136556,000001D5,false,Rx,0,8,22,99,29,22,22,22,99,99,
136757,00000200,false,Rx,0,8,33,34,40,3A,39,00,00,00,
142687,00000100,false,Rx,0,8,00,00,00,00,00,00,90,B4,
142888,00000201,false,Rx,0,8,34,34,40,3D,38,00,00,00,
143172,00000202,false,Rx,0,8,34,34,40,3F,38,00,00,00,
144953,00000204,false,Rx,0,8,34,34,40,35,38,00,00,00,
148482,00000105,false,Rx,0,8,00,00,00,00,00,00,A0,12,
148765,00000102,false,Rx,0,8,00,00,00,00,00,00,90,7E,
149049,00000101,false,Rx,0,8,00,00,00,00,00,00,90,D1,
150501,00000203,false,Rx,0,8,34,34,40,41,37,00,00,00,
151030,00000104,false,Rx,0,8,00,00,00,00,00,00,90,3D,
156637,00000103,false,Rx,0,8,00,00,00,00,00,00,90,1B,
168545,000001C5,false,Rx,0,8,22,22,92,22,22,22,42,22,
181727,000001D0,false,Rx,0,8,22,99,29,22,22,22,99,99,
181815,00000081,false,Rx,0,8,68,10,00,50,00,00,C0,66,
181901,00000111,false,Rx,0,8,00,00,33,00,00,00,00,00,
186584,000001D2,false,Rx,0,8,22,99,29,22,22,22,99,99,
187616,000001D1,false,Rx,0,8,22,99,29,22,22,22,99,99,
188978,000001D4,false,Rx,0,8,22,99,29,22,22,22,99,99,
192667,00000205,false,Rx,0,8,34,34,40,43,39,00,00,00,
192868,00000100,false,Rx,0,8,00,00,00,00,00,00,A0,FE,
194484,000001D3,false,Rx,0,8,22,99,29,22,22,22,99,99,
198665,00000105,false,Rx,0,8,00,00,00,00,00,00,B0,DF,
198948,00000102,false,Rx,0,8,00,00,00,00,00,00,A0,34,
199652,00000101,false,Rx,0,8,00,00,00,00,00,00,A0,9B,
200930,00000104,false,Rx,0,8,00,00,00,00,00,00,A0,77,
206536,00000103,false,Rx,0,8,00,00,00,00,00,00,A0,51,
212586,000001C0,false,Rx,0,8,22,22,92,22,22,22,42,22,
218598,000001C2,false,Rx,0,8,22,22,92,22,22,22,42,22,
219630,000001C1,false,Rx,0,8,22,22,92,22,22,22,42,22,
220991,000001C4,false,Rx,0,8,22,22,92,22,22,22,42,22,
226507,000001C3,false,Rx,0,8,22,22,92,22,22,22,42,22,
234300,00000082,false,Rx,0,8,68,10,00,50,00,00,D0,04,
234387,00000112,false,Rx,0,8,00,00,33,00,00,00,00,00,
236498,00000200,false,Rx,0,8,33,34,40,39,39,00,00,00,
242507,00000100,false,Rx,0,8,00,00,00,00,00,00,B0,33,
243542,00000201,false,Rx,0,8,34,34,40,3D,38,00,00,00,
243825,00000202,false,Rx,0,8,34,34,40,3E,38,00,00,00,
245108,00000204,false,Rx,0,8,34,34,40,36,38,00,00,00,
248719,00000105,false,Rx,0,8,00,00,00,00,00,00,C0,86,
249588,00000101,false,Rx,0,8,00,00,00,00,00,00,B0,56,
249871,00000102,false,Rx,0,8,00,00,00,00,00,00,B0,F9,
250493,00000203,false,Rx,0,8,34,34,40,41,37,00,00,00,
251022,00000104,false,Rx,0,8,00,00,00,00,00,00,B0,BA,
256545,00000103,false,Rx,0,8,00,00,00,00,00,00,B0,9C,
283066,00000083,false,Rx,0,8,68,10,00,50,00,00,E0,2B,
285838,00000113,false,Rx,0,8,00,00,33,00,00,00,00,00,
292527,00000100,false,Rx,0,8,00,00,00,00,00,00,C0,6A,
292728,00000205,false,Rx,0,8,34,34,40,43,39,00,00,00,
298741,00000105,false,Rx,0,8,00,00,00,00,00,00,D0,4B,
299528,00000101,false,Rx,0,8,00,00,00,00,00,00,C0,0F,
299812,00000102,false,Rx,0,8,00,00,00,00,00,00,C0,A0,
300927,00000104,false,Rx,0,8,00,00,00,00,00,00,C0,E3,
307302,00000103,false,Rx,0,8,00,00,00,00,00,00,C0,C5,
333975,00000084,false,Rx,0,8,68,10,00,50,00,00,00,BF,
335094,00000114,false,Rx,0,8,00,00,33,00,00,00,00,00,
336570,00000200,false,Rx,0,8,33,34,40,3A,39,00,00,00,
336773,000001D5,false,Rx,0,8,22,99,29,22,22,22,99,99,
342382,00000100,false,Rx,0,8,00,00,00,00,00,00,D0,A7,
343579,00000202,false,Rx,0,8,34,34,40,3F,38,00,00,00,
343780,00000201,false,Rx,0,8,34,34,40,3D,38,00,00,00,
345892,00000204,false,Rx,0,8,34,34,40,36,38,00,00,00,
348670,00000105,false,Rx,0,8,00,00,00,00,00,00,E0,01,
349540,00000102,false,Rx,0,8,00,00,00,00,00,00,D0,6D,
349741,00000101,false,Rx,0,8,00,00,00,00,00,00,D0,C2,
351268,00000203,false,Rx,0,8,34,34,40,41,37,00,00,00,
351971,00000104,false,Rx,0,8,00,00,00,00,00,00,D0,2E,
357235,00000103,false,Rx,0,8,00,00,00,00,00,00,D0,08,
368625,000001C5,false,Rx,0,8,22,22,92,22,22,22,42,22,
380203,000001D0,false,Rx,0,8,22,99,29,22,22,22,99,99,
384972,00000085,false,Rx,0,8,68,10,00,50,00,00,10,17,
385840,00000115,false,Rx,0,8,00,00,33,00,00,00,00,00,
388519,000001D2,false,Rx,0,8,22,99,29,22,22,22,99,99,
388606,000001D1,false,Rx,0,8,22,99,29,22,22,22,99,99,
389888,000001D4,false,Rx,0,8,22,99,29,22,22,22,99,99,
392248,00000100,false,Rx,0,8,00,00,00,00,00,00,E0,ED,
393700,00000205,false,Rx,0,8,34,34,40,43,39,00,00,00,
395059,000001D3,false,Rx,0,8,22,99,29,22,22,22,99,99,
399330,00000102,false,Rx,0,8,00,00,00,00,00,00,E0,27,
399612,00000101,false,Rx,0,8,00,00,00,00,00,00,E0,88,
399812,00000105,false,Rx,0,8,00,00,00,00,00,00,00,B3,
401923,00000104,false,Rx,0,8,00,00,00,00,00,00,E0,64,
407111,00000103,false,Rx,0,8,00,00,00,00,00,00,E0,42,
412134,000001C0,false,Rx,0,8,22,22,92,22,22,22,42,22,
419440,000001C2,false,Rx,0,8,22,22,92,22,22,22,42,22,
419641,000001C1,false,Rx,0,8,22,22,92,22,22,22,42,22,
421833,000001C4,false,Rx,0,8,22,22,92,22,22,22,42,22,
427267,000001C3,false,Rx,0,8,22,22,92,22,22,22,42,22,
436074,00000086,false,Rx,0,8,68,10,00,50,00,00,20,F2,
436276,00000200,false,Rx,0,8,33,34,40,3A,39,00,00,00,
442212,00000100,false,Rx,0,8,00,00,00,00,00,00,00,5F,
443417,00000202,false,Rx,0,8,34,34,40,3E,38,00,00,00,
443618,00000201,false,Rx,0,8,34,34,40,3D,38,00,00,00,
445893,00000204,false,Rx,0,8,34,34,40,35,38,00,00,00,
449421,00000102,false,Rx,0,8,00,00,00,00,00,00,00,95,
449704,00000101,false,Rx,0,8,00,00,00,00,00,00,00,3A,
