Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1810591,00000104,false,Rx,0,8,00,00,00,10,00,00,00,F3,
1810890,00000105,false,Rx,0,8,00,00,00,10,00,00,00,96,
1814554,00000101,false,Rx,0,8,00,00,00,10,00,00,00,1F,
1814762,00000103,false,Rx,0,8,00,00,00,10,00,00,00,D5,
1815387,00000102,false,Rx,0,8,00,00,00,10,00,00,00,B0,
1817017,00000100,false,Rx,0,8,00,00,00,10,00,00,00,7A,
1854665,00000204,false,Rx,0,8,3A,3A,40,40,43,00,00,00,
1854869,00000205,false,Rx,0,8,3A,3A,40,4E,44,00,00,00,
1858505,00000203,false,Rx,0,8,3A,3A,40,4C,41,00,00,00,
1858792,00000201,false,Rx,0,8,3A,3A,40,48,43,00,00,00,
1859334,00000202,false,Rx,0,8,39,3A,40,49,42,00,00,00,
1860623,00000104,false,Rx,0,8,00,00,00,10,00,00,10,3E,
1861634,00000105,false,Rx,0,8,00,00,00,10,00,00,10,5B,
1861722,00000200,false,Rx,0,8,39,3A,40,44,42,00,00,00,
1864604,00000101,false,Rx,0,8,00,00,00,10,00,00,10,D2,
1864807,00000103,false,Rx,0,8,00,00,00,10,00,00,10,18,
1865348,00000102,false,Rx,0,8,00,00,00,10,00,00,10,7D,
1866888,00000100,false,Rx,0,8,00,00,00,10,00,00,10,B7,
1898559,000001D4,false,Rx,0,8,22,99,29,22,22,22,99,99,
1898846,000001D5,false,Rx,0,8,22,99,29,22,22,22,99,99,
1902528,000001D1,false,Rx,0,8,22,99,29,22,22,22,99,99,
1902730,000001D3,false,Rx,0,8,22,99,29,22,22,22,99,99,
1903367,000001D2,false,Rx,0,8,22,99,29,22,22,22,99,99,
1904831,000001D0,false,Rx,0,8,22,99,29,22,22,22,99,99,
1910647,00000104,false,Rx,0,8,00,00,00,10,00,00,20,74,
1910934,00000105,false,Rx,0,8,00,00,00,10,00,00,20,11,
1914459,00000101,false,Rx,0,8,00,00,00,10,00,00,20,98,
1914745,00000103,false,Rx,0,8,00,00,00,10,00,00,20,52,
1915453,00000102,false,Rx,0,8,00,00,00,10,00,00,20,37,
1916910,00000100,false,Rx,0,8,00,00,00,10,00,00,20,FD,
1930590,000001C4,false,Rx,0,8,22,11,92,22,22,22,42,22,
1930877,000001C5,false,Rx,0,8,22,11,92,22,22,22,42,22,
1934347,000001C1,false,Rx,0,8,22,11,92,22,22,22,42,22,
1934632,000001C3,false,Rx,0,8,22,11,92,22,22,22,42,22,
1935425,000001C2,false,Rx,0,8,22,11,92,22,22,22,42,22,
1936799,000001C0,false,Rx,0,8,22,11,92,22,22,22,42,22,
1954610,00000204,false,Rx,0,8,3A,39,40,40,43,00,00,00,
1954897,00000205,false,Rx,0,8,3A,39,40,4E,44,00,00,00,
1958451,00000201,false,Rx,0,8,3A,3A,40,48,43,00,00,00,
1958653,00000203,false,Rx,0,8,3A,39,40,4C,41,00,00,00,
1959528,00000202,false,Rx,0,8,39,3A,40,49,42,00,00,00,
1960653,00000104,false,Rx,0,8,00,00,00,10,00,00,30,B9,
1960856,00000200,false,Rx,0,8,39,3A,40,44,42,00,00,00,
